iter	Logloss
0	0.5939293667
1	0.543678271
2	0.5178487996
3	0.5008028719
4	0.4905972454
5	0.4840361601
6	0.479089499
7	0.4747213956
8	0.4714545581
9	0.4691447252
10	0.4671676047
11	0.4650044033
12	0.4629038717
13	0.46168256
14	0.4601556163
15	0.4589123705
16	0.4577685917
17	0.456867024
18	0.4561353137
19	0.4555062648
20	0.4547061267
21	0.4540998649
22	0.4534539667
23	0.4530831735
24	0.4523560885
25	0.4518829062
26	0.4513216026
27	0.4508394548
28	0.4504006487
29	0.4500529462
30	0.4497220545
31	0.44929092
32	0.4489523021
33	0.4486906212
34	0.4484393162
35	0.4480816613
36	0.4478151403
37	0.4474271115
38	0.4470359039
39	0.4466813462
40	0.4464260792
41	0.4461124351
42	0.4458875195
43	0.4455820088
44	0.4452777536
45	0.4449710591
46	0.4446764088
47	0.4444061399
48	0.444227185
49	0.4439428304
50	0.4436378835
51	0.4433910017
52	0.4430576839
53	0.4427690438
54	0.442556594
55	0.4421486225
56	0.4419363174
57	0.4417358266
58	0.4414731112
59	0.4412315351
60	0.441012324
61	0.44073169
62	0.4404214923
63	0.440115112
64	0.4399161594
65	0.4397081031
66	0.4395015765
67	0.439187136
68	0.43895629
69	0.4387567425
70	0.4385091286
71	0.4382851171
72	0.4380038203
73	0.437788025
74	0.4375721566
75	0.4373337766
76	0.4372275662
77	0.4369371011
78	0.4367075724
79	0.4364647428
80	0.4363098183
81	0.4361043803
82	0.4358648159
83	0.435637868
84	0.4354571177
85	0.4352993724
86	0.4351071051
87	0.4349300327
88	0.4346898306
89	0.434481004
90	0.4343054407
91	0.4341657844
92	0.434026765
93	0.4338616671
94	0.4336726186
95	0.4335519781
96	0.4333528701
97	0.4331169825
98	0.4329326804
99	0.4327361323
100	0.4325734144
101	0.4324070707
102	0.4322435587
103	0.4320305042
104	0.4318270415
105	0.4316494806
106	0.43144326
107	0.4312569402
108	0.431058359
109	0.4309179158
110	0.4307870543
111	0.4306143446
112	0.430426382
113	0.4302669073
114	0.4300004031
115	0.4298788774
116	0.4297648373
117	0.4296825558
118	0.4295543075
119	0.4293732072
120	0.4291973011
121	0.4290386459
122	0.4288339125
123	0.4286136434
124	0.4284998248
125	0.4283539092
126	0.4282324658
127	0.4281409097
128	0.4279449835
129	0.4277741323
130	0.4276955771
131	0.427549409
132	0.4274073016
133	0.4272974407
134	0.4271677769
135	0.4270111268
136	0.426852494
137	0.4267079204
138	0.4265223119
139	0.42637788
140	0.4263609319
141	0.4262135205
142	0.426066386
143	0.42591337
144	0.4257584326
145	0.4256161369
146	0.4254480036
147	0.4253272343
148	0.4251546688
149	0.4249724547
