loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr
0.9731338024139404,0.49809885025024414,0.483790785074234,0.6744381189346313,0.7159090638160706,0.755301296710968,0.001
0.8105798959732056,0.6159695982933044,0.6183746457099915,0.6322980523109436,0.8068181872367859,0.8197544813156128,0.001
0.7657381296157837,0.6463878154754639,0.6570565700531006,0.5866521000862122,0.8295454382896423,0.8755580186843872,0.001
0.6411672830581665,0.7034220695495605,0.7387007474899292,0.5423166751861572,0.8636363744735718,0.904296875,0.001
0.5593360662460327,0.7604562640190125,0.7769733667373657,0.4985920786857605,0.8977272510528564,0.93359375,0.001
0.5335404276847839,0.7414448857307434,0.7843384146690369,0.4645565152168274,0.9318181872367859,0.9428013563156128,0.001
0.44990095496177673,0.7984790802001953,0.8501195907592773,0.4407142698764801,0.9431818127632141,0.943359375,0.001
0.536815881729126,0.7528517246246338,0.8000125885009766,0.4111342132091522,0.9431818127632141,0.9478236436843872,0.001
0.45667797327041626,0.7946767807006836,0.853550374507904,0.37708041071891785,0.9431818127632141,0.9489396810531616,0.001
0.47145402431488037,0.8098859190940857,0.8385999798774719,0.35240885615348816,0.9431818127632141,0.9492188096046448,0.001
0.39731860160827637,0.8403041958808899,0.8911305069923401,0.3274448812007904,0.9431818127632141,0.94921875,0.001
0.3900578022003174,0.8403041958808899,0.9028390049934387,0.30684202909469604,0.9431818127632141,0.9486607313156128,0.001
0.36419960856437683,0.855513334274292,0.9023668766021729,0.2920077443122864,0.9431818127632141,0.9464285373687744,0.001
0.4307394027709961,0.8212927579879761,0.869287371635437,0.2777930498123169,0.9431818127632141,0.9447544813156128,0.001
0.348066121339798,0.8707224130630493,0.9105501174926758,0.2650406062602997,0.9318181872367859,0.9455915689468384,0.001
0.27019134163856506,0.9049429893493652,0.9561878442764282,0.2546912431716919,0.9318181872367859,0.9458705186843872,0.001
0.365665078163147,0.8517110347747803,0.9203701019287109,0.24968887865543365,0.9318181872367859,0.9380580186843872,0.001
0.3231811821460724,0.8707224130630493,0.9202442765235901,0.24954146146774292,0.9318181872367859,0.9324777126312256,0.001
