iter	RMSE
0	0.9738184048
1	0.8479232682
2	0.7713508668
3	0.7154283877
4	0.6701154559
5	0.6442496258
6	0.6240522965
7	0.6121215275
8	0.5871179912
9	0.5782494342
10	0.5669327452
11	0.5588077064
12	0.552385578
13	0.5459969574
14	0.5409718547
15	0.5333745413
16	0.5300412438
17	0.5258911766
18	0.5228314186
19	0.5194098588
20	0.5169890856
21	0.5137953309
22	0.5103626061
23	0.5073675318
24	0.5029356917
25	0.5001750114
26	0.498212198
27	0.4962317481
28	0.4937072554
29	0.4909875548
30	0.4889834989
31	0.4857608177
32	0.4841772274
33	0.4819717411
34	0.4800026656
35	0.4773826303
36	0.4754189582
37	0.4717077747
38	0.4694886611
39	0.4654308661
40	0.4630262351
41	0.4614257964
42	0.4585034412
43	0.4566374367
44	0.4547991663
45	0.4529052491
46	0.4513425264
47	0.4497592398
48	0.4479028581
49	0.4463224137
50	0.4448289832
51	0.4437041361
52	0.4412517433
53	0.4394701402
54	0.4382488316
55	0.4368596334
56	0.4347009573
57	0.4327480178
58	0.431345348
59	0.4298288232
60	0.4279875717
61	0.4266371642
62	0.4257375972
63	0.424142179
64	0.4226960943
65	0.4217832421
66	0.4205516599
67	0.419442133
68	0.4183970707
69	0.4160442311
70	0.4145289008
71	0.4130148973
72	0.4118504715
73	0.4105907464
74	0.4096784383
75	0.4084395674
76	0.4071196572
77	0.4060532406
78	0.4047256266
79	0.4039276254
80	0.4028263088
81	0.4016506046
82	0.4007014278
83	0.3996000424
84	0.3986458051
85	0.3970952686
86	0.3960532608
87	0.3945481039
88	0.3936173464
89	0.3926630939
90	0.3920020012
91	0.3911307293
92	0.3900663675
93	0.3882697802
94	0.3874540897
95	0.3858428319
96	0.3852068927
97	0.3842100683
98	0.3829659464
99	0.3816828133
100	0.3807549229
101	0.3801456978
102	0.3792235765
103	0.378032016
104	0.3772366491
105	0.3765207729
106	0.3758826486
107	0.3753643708
108	0.3747265223
109	0.3735512707
110	0.3726809845
111	0.3720793323
112	0.371276838
113	0.3706125126
114	0.3699277021
115	0.3692605031
116	0.3686380573
117	0.3679782469
118	0.366780622
119	0.3659240777
120	0.3651859452
121	0.3645647889
122	0.363782814
123	0.3630452338
124	0.362104304
125	0.3615343649
126	0.3609157772
127	0.360174654
128	0.3596145936
129	0.3589295504
130	0.3583893696
131	0.3579411495
132	0.3572455628
133	0.356863375
134	0.356072741
135	0.3554129051
136	0.3551649555
137	0.3544622879
138	0.3536866139
139	0.3533087655
140	0.3524543145
141	0.3518401212
142	0.3511104305
143	0.350454438
144	0.3498265984
145	0.3493605558
146	0.349016028
147	0.3485117876
148	0.3478482575
149	0.3471749315
150	0.3462582533
151	0.3459712646
152	0.3450291807
153	0.3443968558
154	0.3437789609
155	0.343148044
156	0.3423642834
157	0.3418372783
158	0.341250688
159	0.3400528652
160	0.3395423759
161	0.3391460142
162	0.3384181293
163	0.3379431015
164	0.3372929216
165	0.3367586814
166	0.3363544176
167	0.3360389961
168	0.3355001419
169	0.3347584442
170	0.3343746078
171	0.3338566144
172	0.3333862869
173	0.3325284855
174	0.3319881754
175	0.3312824066
176	0.3307176713
177	0.330120654
178	0.329535396
179	0.3288941305
180	0.328164779
181	0.3275591163
182	0.3269793601
183	0.3265834993
184	0.3258872247
185	0.3254840656
186	0.3248754995
187	0.3242628549
188	0.3238687739
189	0.3233753897
190	0.3229982707
191	0.3225833332
192	0.321892929
193	0.3217615184
194	0.3214699329
195	0.3211092431
196	0.3205639876
197	0.3201250744
198	0.3198035009
199	0.319291994
